tool	ULTIMATE Automizer 0.1.23-e6fd87c5	ULTIMATE Automizer 0.1.23-e6fd87c5	ULTIMATE Automizer 0.1.23-e6fd87c5	ULTIMATE Automizer 0.1.23-e6fd87c5	ULTIMATE Automizer 0.1.23-e6fd87c5	ULTIMATE Automizer 0.1.23-e6fd87c5	ULTIMATE Automizer 0.1.23-e6fd87c5	ULTIMATE Automizer 0.1.23-e6fd87c5	ULTIMATE Automizer 0.1.23-e6fd87c5	ULTIMATE Automizer 0.1.23-e6fd87c5	ULTIMATE Automizer 0.1.23-e6fd87c5	ULTIMATE Automizer 0.1.23-e6fd87c5
run set	Automizer NestedInterpolants	Automizer NestedInterpolants	Automizer NestedInterpolants	Automizer NestedInterpolants	Automizer PDR z3	Automizer PDR z3	Automizer PDR z3	Automizer PDR z3	Automizer PDR smtinterpol	Automizer PDR smtinterpol	Automizer PDR smtinterpol	Automizer PDR smtinterpol
../../../trunk/examples/programs/	status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage	status	cputime (s)	walltime (s)	memUsage
20170319-ConjunctivePathPrograms/count_by_nondet.i_3.bplTransformedIcfg_BEv2_3.bpl	TIMEOUT (ERROR (143))	300.554084364	259.8168537800084	2836492288	ERROR: EXCEPTION	229.959621488	223.5963893129956	824311808	ERROR: EXCEPTION	5.896672573	3.195567164977547	201785344
20170319-ConjunctivePathPrograms/fragtest_simple.i_4.bplTransformedIcfg_BEv2_5.bpl	TIMEOUT (ERROR: EXCEPTION)	301.04691384	264.0098773870268	2863415296	TIMEOUT (ERROR (143))	300.908714916	273.34154257999035	1294991360	ERROR: EXCEPTION	6.743205416	3.523710110981483	209862656
20170319-ConjunctivePathPrograms/gauss_sum.i_3.bplTransformedIcfg_BEv2_3.bpl	unknown	5.175000592	2.766820235992782	176205824	TIMEOUT (ERROR (143))	301.174918374	287.1432967070141	1223266304	unknown	5.404974487	2.9077209439710714	177532928
20170319-ConjunctivePathPrograms/gcd_2.i_4.bplTransformedIcfg_BEv2_6.bpl	unknown	5.322397791	2.848452600010205	178728960	TRUE	6.353699514	3.6604116469970904	207478784	unknown	5.416595859	2.897242698993068	180228096
20170319-ConjunctivePathPrograms/gj2007.c.i_4.bplTransformedIcfg_BEv2_3.bpl	TRUE	102.403481529	63.331683554977644	2331344896	ERROR: EXCEPTION	21.646946135	17.88921906001633	296947712	ERROR: EXCEPTION	6.260923316	3.313940457010176	200769536
20170319-ConjunctivePathPrograms/gr2006.c.i_4.bplTransformedIcfg_BEv2_3.bpl	TRUE	177.466948149	126.66339645400876	2841489408	TIMEOUT (ERROR (143))	301.581469855	289.0178629879956	1363750912	ERROR: EXCEPTION	6.091648912	3.2059393730014563	195477504
20170319-ConjunctivePathPrograms/half_2.i_3.bplTransformedIcfg_BEv2_5.bpl	TRUE	6.624682096	3.5616555960150436	209924096	TIMEOUT (ERROR (143))	300.436161023	280.9197992529953	1603584000	TIMEOUT (ERROR (143))	300.336638073	270.34930361103034	2800889856
20170319-ConjunctivePathPrograms/hhk2008.c.i_3.bplTransformedIcfg_BEv2_3.bpl	TRUE	6.651501736	3.581172959995456	209887232	TIMEOUT (ERROR (143))	300.6182895	282.74342881096527	1617686528	TIMEOUT (ERROR (143))	302.27430119	268.4636235520011	2669273088
20170319-ConjunctivePathPrograms/interleave_bits.i_3.bplTransformedIcfg_BEv2_4.bpl	FALSE	9.314418132	4.878859792952426	299118592	FALSE	15.876680587	10.279923050024081	678223872	ERROR: EXCEPTION	5.578088903	2.9828943489701487	189829120
20170319-ConjunctivePathPrograms/jain_5.i_2.bplTransformedIcfg_BEv2_4.bpl	TIMEOUT (ERROR (143))	300.544055672	260.8289522549603	2857730048	TRUE	14.283539309	8.323860107979272	461578240	ERROR: EXCEPTION	6.32735169	3.397996005951427	211111936
