cpu time;cpu time pdr;;;
8,565990306;0,842845907;;;
8,598390108;0,799616885;;;
5,854554233;6,256000786;;;
6,112187821;7,782182883;;;
6,892660001;5,784844491;;;
6,417342055;6,314077571;;;
6,324239216;6,380492482;;;
9,649305607;27,19743008;;;
7,198960501;6,048086218;;;
11,20878183;9,974811782;;;
1,611340336;151,9853611;;;
12,32678346;15,75782446;;;
17,51784097;41,89666431;;;
12,47801991;31,64062033;;;
9,617787975;17,21787864;;;
8,493888898;17,64383953;;;
9,405124428;17,92537961;;;
8,089524811;12,81894125;;;
9,600456235;16,91718751;;;
7,281604157;1,173959242;;;
7,414446845;9,012886269;;;
6,360663651;9,204979485;;;
5,913108037;5,946250702;;;
5,548162866;6,424390986;;;
5,651813371;6,218865978;;;
5,557612307;5,669045503;;;
7,202385942;6,559022528;;;
